MONTH,MONTH_NAME,total_calls,calls_handled,calls_missed_raw,miss_rate
1,January,525312.0,509728.5,15583.5,2.9665227521929824
2,February,509694.0,493575.0,16119.0,3.1624857267301554
3,March,424036.5,411253.5,12783.0,3.014598979097318
4,April,284634.0,275259.0,9375.0,3.2937034929066797
5,May,325135.5,314046.0,11089.5,3.410731833343329
6,June,309541.5,299806.5,9735.0,3.144974098788046
7,July,385971.0,372991.5,12979.5,3.36281741374352
8,August,406243.5,391960.5,14283.0,3.5158716385616016
9,September,386244.0,374992.5,11251.5,2.9130549600770497
10,October,386946.0,375457.5,11488.5,2.9690189328743544
11,November,434404.5,420592.5,13812.0,3.1795250739805874
12,December,426481.5,405810.0,20671.5,4.846986328832552
